22:27:14: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
22:27:14: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 146] Connected!
22:27:14: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:14: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 10
22:27:15: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:15: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 10
22:27:15: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:15: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_YAW: 63.434948822922024
22:27:16: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:16: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_YAW: 75.96375653207355
22:27:16: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:16: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_YAW: 104.03624346792651
22:27:17: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
