17:57:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
17:57:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 122] Connected!
17:57:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:28: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:29: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:30: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:31: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:32: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:33: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:34: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:35: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:37: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Disconnected
17:57:38: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Disconnected
17:57:39: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Disconnected
17:57:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Disconnected
17:57:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:41: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:42: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:43: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:44: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:45: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:46: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 78] Drone connection status: Connected
17:57:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | stop | 61] Workers stopped
