17:58:29: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 46] Logger initialized
17:58:29: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:29: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:30: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:30: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:31: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:31: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:32: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:32: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:33: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:33: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:34: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
17:58:35: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
17:58:36: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
17:58:37: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:37: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:38: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:38: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:39: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:39: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:41: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:41: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
17:58:42: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
